Owned		Gear
TRUE		Physician's Hakama
TRUE		Professor
TRUE		Canyon Duds
TRUE		Great Sabrecat
TRUE		Hojo's Specimen
TRUE		Patissier Outfit
TRUE		Pilot's Jacket
TRUE		Pirate Navigator
TRUE		Rubber Harness
TRUE		Seaside Aloha
TRUE		The Hellhound
TRUE		Aeroglider
TRUE		Banesword Style
TRUE		Cape of the Worthy
TRUE		Celebratory Garb
TRUE		Custom Suit
TRUE		Dark Attire
TRUE		Dark Harbinger
TRUE		Edgar's Attire
TRUE		Edged Wings Training Garb
TRUE		Garb of the World-Ender
TRUE		Infiltration Style
TRUE		Knight of Etro
TRUE		Kuja's Attire
TRUE		Lethal Style
TRUE		Natant Jacket
TRUE		Remnant Suit
TRUE		Shinra Formal Uniform
TRUE		Shinra's Hero
TRUE		The Immaculate
TRUE		Conqueror of the Planet
TRUE		Corruptor of the Planet
TRUE		Omega Style
TRUE		One with the Blade
TRUE		Polygon Sephiroth
TRUE		Ruler of the Planet
TRUE		AC Style
TRUE		Amarant's Guise
TRUE		Armor of the Worthy
TRUE		Bahamut Suit
TRUE		Battler Ensemble
TRUE		Bunny Bustier
TRUE		Elegant Dress
TRUE		Fairy of the Holy Flame
TRUE		Feather Style
TRUE		Festive Blue Daffodil Attire
TRUE		Festive Style
TRUE		Golden Flower Kimono
TRUE		Guardian Corps Uniform (Tifa)
TRUE		Guide Uniform
TRUE		Kirin Suit
TRUE		Lifeguard
TRUE		Metalfoot
TRUE		Passion Mermaid
TRUE		Rider Jacket
TRUE		Sabin's Style
TRUE		Seventh Heaven Bartender
TRUE		Seventh High School Uniform
TRUE		Shining Spirit Beachwear
TRUE		Auditing Uniform
TRUE		Bouncer Suit
TRUE		Chaos
TRUE		Coat of the Worthy
TRUE		Crowmaster Suit
TRUE		Devil Gunner's Coat
TRUE		Formal Attire
TRUE		Galian Beast Mantle
TRUE		Holiday Formal Wear
TRUE		Mournful Former Turk
TRUE		Stray Dog
TRUE		AC Outfit
TRUE		Amazing Materia Hunter
TRUE		Bahamut Mantle
TRUE		Bunny Apron
TRUE		Heirloom Kimono
TRUE		Holiday Cheer Reindeer
TRUE		Moogle Hat & Cape
TRUE		Nanaki Mantle
TRUE		Puckish Lion
TRUE		Rocker Outfit
TRUE		Savior Ensemble
TRUE		Shinobi Hawk
TRUE		Sparkling Skater
TRUE		Summer Moogle
TRUE		Winter Moogle
TRUE		Wutai's Idol
TRUE		Black Hound
TRUE		Festive Jacket
TRUE		Glacier Armor
TRUE		Guardian Style
TRUE		Heavy Shield Armor
TRUE		Holiday Suit
TRUE		Polygon Zack
TRUE		Rabbit Butler
TRUE		Shinra Full Dress Uniform
TRUE		SOLDIER: First Class Future Hero
TRUE		SOLDIER: Second Class Future Hero
TRUE		Surfer Look
TRUE		Tropical Beach
TRUE		Valiant Suit
TRUE		Zenithian Armour
TRUE		Zinogre Armor
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
FALSE		
