Id	Character	Name	Ability Element	Ability Pot. %	Ability Range	Ability Text	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Duration	Effect3_Extend	Effect3_Pot	Effect3_Range	Effect3_Type	GachaType	Initial Charge Time	MateriaSupport0	MateriaSupport1	MateriaSupport2	Recharge Time	Use Count
1015	Cloud	Apocalypse	Non-Elemental	940.0	Single Enemy	Deal 940.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Featured		PATK Boost I	PATK Boost I	PATK Boost I		No limit
1020	Cloud	Maritime Sword	Water	750.0	Single Enemy	Deal 750.0% Phys. Water damage [Rng: Single Enemy] 	Phys.	4																																				Featured		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1021	Cloud	Full Throttle	Ice	1120.0	Single Enemy	Deal 1120.0% Mag. Ice damage [Rng: Single Enemy] \nMATK Up [Pot: Mid] [Rng: Self] [Dur: 30s] [Ext: 10s] [Max pot: High] \nWhen hitting target's weakness, MDEF Down [Pot: Mid] [Rng: Single Enemy] [Dur: 30s] [Ext: 10s] [Max pot: High] 	Mag.	4		MATK Up		30		10	Mid	High	Self	BuffDebuff	MDEF Down	When hitting target's weakness	30		10	Mid	High	Single Enemy	BuffDebuff																	Featured		MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1022	Cloud	Mystic Sword	Non-Elemental	420.0	Single Enemy	Deal 420.0% Mag. Non-Elemental damage [Rng: Single Enemy] \nMATK Down [Pot: High] [Rng: Single Enemy] [Dur: 24s] [Ext: 8s] [Max pot: High] \nWhen HP is greater than 70.0%, PATK Down [Pot: High] [Rng: Single Enemy] [Dur: 24s] [Ext: 8s] [Max pot: High] \n[Crit rate:10.0%] 	Mag.	3		MATK Down		24		8	High	High	Single Enemy	BuffDebuff	PATK Down	When HP is greater than 70.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect								Featured		PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1024	Cloud	Shiva's Blade	Ice	450.0	Single Enemy	Deal 450.0% Mag. Ice damage [Rng: Single Enemy] 	Mag.	4																																				Grindable		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1025	Cloud	Bandaged Sword	Heal	7.0	All Allies	Mag. heal is cast [7.0% of Healing Pot.] [Rng: All Allies] \nMDEF Up [Pot: High] [Rng: All Allies] [Dur: 14s] [Ext: 4s] [Max pot: High] 	Mag.	4		MDEF Up		14		4	High	High	All Allies	BuffDebuff																										Featured		ATK Boost I	Buff/Debuff Extension I	ATK Boost (Ice) I		No limit
1028	Cloud	Skysplitter	Fire	850.0	Single Enemy	Deal 850.0% Phys. Fire damage [Rng: Single Enemy] 	Phys.	4																																				Featured		PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)		No limit
1029	Cloud	Zidane's Sword	Non-Elemental	1300.0	Single Enemy	Deal 1300.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Crossover		PATK Boost I	PATK Boost I	✕ Cross Sigil Boost I (+2)		No limit
1030	Cloud	Holiday Cheer	Earth	290.0	All Enemies	Deal 290.0% Mag. Earth damage [Rng: All Enemies] 	Mag.	4																																				Event		ATK Boost I	ATK Boost I	MATK Boost I		No limit
1031	Cloud	Stream Saber	Ice	1020.0	Single Enemy	Deal 1020.0% Phys. Ice damage [Rng: Single Enemy] \nApplies HP Gain [When triggered: restores 8.0% of target's max HP] [Rng: All Allies] [Dur: 30s] [Ext: 0s] 	Phys.	4		HP Gain		30		0	8.0%		All Allies	StatusChangeEffect																										Limited		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1032	Cloud	Igneous Saber	Fire	290.0	All Enemies	Deal 290.0% Mag. Fire damage [Rng: All Enemies] 	Mag.	4																																				Event		ATK Boost I	ATK Boost I	MATK Boost I		No limit
1033	Cloud	Glavenus Sword	Non-Elemental	850.0	Single Enemy	Deal 850.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nPDEF Down [Pot: Mid] [Rng: Single Enemy] [Dur: 30s] [Ext: 10s] [Max pot: Mid] \nWhen HP is greater than 50.0%, PATK Up [Pot: High] [Rng: Self] [Dur: 35s] [Ext: 7s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		PDEF Down		30		10	Mid	Mid	Single Enemy	BuffDebuff	PATK Up	When HP is greater than 50.0%	35		7	High	High	Self	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect								Crossover		PATK Boost I	ATK Boost (Fire) I	◯ Circle Sigil Boost I (+2)		No limit
1034	Cloud	Rune Blade	Ice	290.0	All Enemies	Deal 290.0% Mag. Ice damage [Rng: All Enemies] 	Mag.	4																																				Event		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1035	Cloud	Burning Oar	Fire	450.0	Single Enemy	Deal 450.0% Phys. Fire damage [Rng: Single Enemy] 	Phys.	4																																				Event		ATK Boost I	PATK Boost I	PATK Boost I		No limit
1036	Cloud	Bahamut Greatsword	Non-Elemental	800.0	All Enemies	Deal 800.0% Phys. Non-Elemental damage [Rng: All Enemies] \nOn first use, Applies Haste [Rng: Self] [Dur: 30s] [Ext: 10s] \n[Crit rate:10.0%] \nWhen HP is greater than 50.0%, deals 40000 additional damage [Rng: All Enemies] 	Phys.	4		Haste	On first use	30		10	0.0%		Self	StatusChangeEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect	Deals Fixed Additional Damage	When HP is greater than 50.0%				40000		All Enemies	AdditionalEffect								Limited		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1037	Cloud	Ultimate Buster Sword	Non-Elemental	1000.0	Single Enemy	Deal 1000.0% Phys./Mag. Non-Elemental damage [Rng: Single Enemy] \nPATK Down [Pot: High] [Rng: Single Enemy] [Dur: 30s] [Ext: 30s] [Max pot: High] \nMATK Down [Pot: High] [Rng: Single Enemy] [Dur: 30s] [Ext: 30s] [Max pot: High] 	Phys./Mag.	0		PATK Down		30		30	High	High	Single Enemy	BuffDebuff	MATK Down		30		30	High	High	Single Enemy	BuffDebuff																	Ultimate	30				30	1
1038	Cloud	Locke's Sword	Non-Elemental	1010.0	Single Enemy	Deal 1010.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nFire Damage Up [Pot: High] [Rng: Self] [Dur: 55s] [Ext: 11s] [Max pot: High] \nIce Damage Up [Pot: High] [Rng: Self] [Dur: 55s] [Ext: 11s] [Max pot: High] \nLightning Damage Up [Pot: High] [Rng: Self] [Dur: 55s] [Ext: 11s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	3		Fire Damage Up		55		11	High	High	Self	BuffDebuff	Ice Damage Up		55		11	High	High	Self	BuffDebuff	Lightning Damage Up		55		11	High	High	Self	BuffDebuff	Crit Rate				10.0%	Single Enemy	AdditionalEffect	Crossover		ATK Boost (Fire) I	ATK Boost (Ice) I	ATK Boost (Lightning) I		No limit
1039	Cloud	Holiday Blade	Wind	940.0	Single Enemy	Deal 940.0% Mag. Wind damage [Rng: Single Enemy] \nWhen debuff is on target, x1.2 damage 	Mag.	4		Multiply Damage	When debuff is on target				120.0%		Single Enemy	AdditionalEffect																										Featured		MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1040	Cloud	Chocobo Paddle	Non-Elemental	250.0	All Enemies	Deal 250.0% Mag. Non-Elemental damage [Rng: All Enemies] \nFire Resistance Down [Pot: Low] [Rng: All Enemies] [Dur: 35s] [Ext: 8s] [Max pot: Mid] \n[Crit rate:10.0%] 	Mag.	4		Fire Resistance Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																	Event		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1042	Cloud	Sleek Saber	Non-Elemental	250.0	All Enemies	Deal 250.0% Mag. Non-Elemental damage [Rng: All Enemies] \nPDEF Down [Pot: Low] [Rng: All Enemies] [Dur: 35s] [Ext: 8s] [Max pot: Mid] \n[Crit rate:10.0%] 	Mag.	4		PDEF Down		35		8	Low	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																	Event		ATK Boost I	PATK Boost I	PATK Boost I		No limit
1044	Cloud	Erdrick's Sword	Lightning	720.0	All Enemies	Deal 720.0% Phys. Lightning damage [Rng: All Enemies] \nAgainst a single target, x1.5 damage \nApplies Status Ailment: Enfeeble [Rng: All Enemies] [Dur: 30s] [Ext: 10s]\nWhen HP is greater than 50.0%, MATK Down [Pot: Mid] [Rng: All Enemies] [Dur: 30s] [Ext: 10s] [Max pot: High] 	Phys.	4		Multiply Damage	Against a single target				150.0%		All Enemies	AdditionalEffect	Status Ailment: Enfeeble		30		10			All Enemies	StatusConditionEffect	MATK Down	When HP is greater than 50.0%	30		10	Mid	High	All Enemies	BuffDebuff								Crossover		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1045	Cloud	Radblade	Water	450.0	Single Enemy	Deal 450.0% Phys. Water damage [Rng: Single Enemy] 	Phys.	4																																				Event		PATK Boost I	PATK Boost I	PATK Boost I		No limit
1046	Cloud	Umbral Blade	Non-Elemental	430.0	All Enemies	Deal 430.0% Phys. Non-Elemental damage [Rng: All Enemies] \nWhen HP is greater than 50.0%, deals 10000 additional damage [Rng: All Enemies] \n[Crit rate:10.0%] 	Phys.	4		Deals Fixed Additional Damage	When HP is greater than 50.0%				10000		All Enemies	AdditionalEffect	Crit Rate					10.0%		All Enemies	AdditionalEffect																	Event		PATK Boost I	PATK Boost I	PATK Boost I		No limit
1047	Cloud	Ragnarok	Non-Elemental	2000.0	Single Enemy	Deal 2000.0% Phys./Mag. Non-Elemental damage [Rng: Single Enemy] \nApplies Amp. Phys. Abilities [Damage +40.0% up to 1 time(s)] [Rng: Self] [Dur: 60s] [Ext: 0s] \nApplies Amp. Mag. Abilities [Damage +40.0% up to 1 time(s)] [Rng: Self] [Dur: 60s] [Ext: 0s] \n+3 ATB Gauge [Rng: All Allies] 	Phys./Mag.	0		Amp. Phys. Abilities		60	1	0	40.0%		Self	StatusChangeEffect	Amp. Mag. Abilities		60	1	0	40.0%		Self	StatusChangeEffect	ATB+3							All Allies	AtbChangeEffect								Ultimate	20				60	2
1048	Cloud	Fusion Sword	Non-Elemental	1340.0	Single Enemy	Deal 1340.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nApplies Phys. Weapon Boost [Pot: 40.0%] [Rng: Self] [Dur: 60s] [Ext: 20s] \nApplies Mag. Weapon Boost [Pot: 40.0%] [Rng: Self] [Dur: 60s] [Ext: 20s] \nWhen HP is greater than 50.0%, Applies Exploit Weakness [Pot: 40.0%] [Rng: Self] [Dur: 60s] [Ext: 20s] \n[Crit rate:10.0%] 	Phys.	4		Phys. Weapon Boost		60		20	40.0%		Self	StatusChangeEffect	Mag. Weapon Boost		60		20	40.0%		Self	StatusChangeEffect	Exploit Weakness	When HP is greater than 50.0%	60		20	40.0%		Self	StatusChangeEffect	Crit Rate				10.0%	Single Enemy	AdditionalEffect	Limited		PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1049	Cloud	Crimson Blitz	Non-Elemental	800.0	Single Enemy	Deal 800.0% Mag. Non-Elemental damage [Rng: Single Enemy] \nApplies Status Ailment: Ice Weakness [Rng: Single Enemy] [Pot: 30.0%] [Dur: 60s] [Ext: 20s]\nWhen HP is greater than 50.0%, Applies Ice Damage Bonus [Pot: 30.0%] [Rng: All Allies] [Dur: 60s] [Ext: 20s] \n[Crit rate:10.0%] 	Mag.	3		Status Ailment: Ice Weakness		60		20	30.0%		Single Enemy	StatusConditionEffect	Ice Damage Bonus	When HP is greater than 50.0%	60		20	30.0%		All Allies	StatusChangeEffect	Crit Rate					10.0%		Single Enemy	AdditionalEffect								Crossover		PATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1050	Cloud	Cruel Successor	Earth	1340.0	Single Enemy	Deal 1340.0% Phys. Earth damage [Rng: Single Enemy] \nApplies Earth Weapon Boost [Pot: 35.0%] [Rng: All Allies] [Dur: 25s] [Ext: 8s] 	Phys.	4		Earth Weapon Boost		25		8	35.0%		All Allies	StatusChangeEffect																										Crossover		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2001	Barret	Gatling Gun	Non-Elemental	750.0	Single Enemy	Deal 750.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4	✕ Cross	Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Featured		ATK Boost I	ATK Boost I	PATK Boost I		No limit
2002	Barret	Assault Gun	Heal	7.0	All Allies	Phys. heal is cast [7.0% of Healing Pot.] [Rng: All Allies] \nPDEF Up [Pot: High] [Rng: All Allies] [Dur: 14s] [Ext: 4s] [Max pot: High] 	Phys.	4		PDEF Up		14		4	High	High	All Allies	BuffDebuff																										Featured		ATK Boost I	MATK Boost I	ATK Boost (Lightning) I		No limit
2007	Barret	Heavy Vulcan	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nMDEF Up [Pot: High] [Rng: Single Ally] [Dur: 38s] [Ext: 12s] [Max pot: High] 	Mag.	4		MDEF Up		38		12	High	High	Single Ally	BuffDebuff																										Featured		ATK Boost I	MATK Boost I	Buff/Debuff Extension I		No limit
2008	Barret	Microlaser	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nMATK Up [Pot: High] [Rng: Single Ally] [Dur: 38s] [Ext: 12s] [Max pot: High] \nApplies Regen [Rng: Single Ally] [Dur: 15s] [Ext: 3s] 	Mag.	4		MATK Up		38		12	High	High	Single Ally	BuffDebuff	Regen		15		3	30.0%		Single Ally	StatusChangeEffect																	Featured		ATK Boost I	MATK Boost I	All (Cure Spells) I		No limit
2010	Barret	W Machine	Non-Elemental	510.0	Single Enemy	Deal 510.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nPDEF Down [Pot: High] [Rng: Single Enemy] [Dur: 25s] [Ext: 8s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		PDEF Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																	Featured		PATK Boost I	PATK Boost I	PATK Boost I		No limit
2011	Barret	Solid Bazooka	Non-Elemental	510.0	Single Enemy	Deal 510.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] \nMATK Down [Pot: High] [Rng: Single Enemy] [Dur: 25s] [Ext: 8s] [Max pot: High] 	Phys.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect	MATK Down		25		8	High	High	Single Enemy	BuffDebuff																	Featured		ATK Boost I	ATK Boost I	PATK Boost I		No limit
2012	Barret	Enemy Launcher	Non-Elemental	650.0	All Enemies	Deal 650.0% Phys. Non-Elemental damage [Rng: All Enemies] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate					10.0%		All Enemies	AdditionalEffect																										Featured		ATK Boost I	PATK Boost I	PATK Boost I		No limit
2013	Barret	Max Ray	Non-Elemental	750.0	Single Enemy	Deal 750.0% Mag. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Mag.	4	◊ Diamond	Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Featured		ATK Boost I	ATK Boost I	ATK Boost (Earth) I		No limit
2015	Barret	Flame Projector	Fire	520.0	All Enemies	Deal 520.0% Mag. Fire damage [Rng: All Enemies] 	Mag.	4																																				Featured		MATK Boost I	MATK Boost I	MATK Boost I		No limit
2017	Barret	Electrocannon	Lightning	540.0	All Enemies	Deal 540.0% Mag. Lightning damage [Rng: All Enemies] \nPATK Down [Pot: Mid] [Rng: All Enemies] [Dur: 30s] [Ext: 10s] [Max pot: High] \nWhen HP is greater than 50.0%, MATK Down [Pot: Mid] [Rng: All Enemies] [Dur: 30s] [Ext: 10s] [Max pot: Mid] 	Mag.	4		PATK Down		30		10	Mid	High	All Enemies	BuffDebuff	MATK Down	When HP is greater than 50.0%	30		10	Mid	Mid	All Enemies	BuffDebuff																	Featured		ATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2018	Barret	Heavy Hauser	Non-Elemental	940.0	Single Enemy	Deal 940.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Featured		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2019	Barret	Lefko Kypseli	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nPDEF Up [Pot: Mid] [Rng: Single Ally] [Dur: 38s] [Ext: 12s] [Max pot: High] 	Mag.	4		PDEF Up		38		12	Mid	High	Single Ally	BuffDebuff																										Event		ATK Boost I	ATK Boost I	MATK Boost I		No limit
2020	Barret	Rocket Punch	Non-Elemental	500.0	Single Enemy	Deal 500.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Guild		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2021	Barret	Sharkslayer	Non-Elemental	420.0	Single Enemy	Deal 420.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nFire Resistance Down [Pot: High] [Rng: Single Enemy] [Dur: 24s] [Ext: 8s] [Max pot: High] \nWhen HP is greater than 50.0%, Water Resistance Down [Pot: High] [Rng: Single Enemy] [Dur: 24s] [Ext: 8s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	3	◊ Diamond	Fire Resistance Down		24		8	High	High	Single Enemy	BuffDebuff	Water Resistance Down	When HP is greater than 50.0%	24		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect								Featured		ATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2022	Barret	Shiva Cannon	Ice	450.0	Single Enemy	Deal 450.0% Mag. Ice damage [Rng: Single Enemy] 	Mag.	4																																				Grindable		ATK Boost I	MATK Boost I	MATK Boost I		No limit
2024	Barret	Hell House Cannon	Non-Elemental	360.0	Single Enemy	Deal 360.0% Mag. Non-Elemental damage [Rng: Single Enemy] \nMDEF Down [Pot: Low] [Rng: Single Enemy] [Dur: 28s] [Ext: 9s] [Max pot: Mid] \n[Crit rate:10.0%] 	Mag.	4		MDEF Down		28		9	Low	Mid	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																	Event		ATK Boost I	ATK Boost I	MATK Boost I		No limit
2025	Barret	Siege Cannon	Water	290.0	All Enemies	Deal 290.0% Mag. Water damage [Rng: All Enemies] 	Mag.	4																																				Event		ATK Boost I	MATK Boost I	MATK Boost I		No limit
2027	Barret	Leviathan Buster	Water	450.0	Single Enemy	Deal 450.0% Mag. Water damage [Rng: Single Enemy] 	Mag.	4																																				Grindable		ATK Boost I	MATK Boost I	MATK Boost I		No limit
2029	Barret	Rhad Cannon	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nPATK Up [Pot: Low] [Rng: Single Ally] [Dur: 44s] [Ext: 14s] [Max pot: Mid] \nApplies Regen [Rng: Single Ally] [Dur: 15s] [Ext: 3s] 	Mag.	4		PATK Up		44		14	Low	Mid	Single Ally	BuffDebuff	Regen		15		3	30.0%		Single Ally	StatusChangeEffect																	Event		ATK Boost I	ATK Boost I	PATK Boost I		No limit
2031	Barret	Ultimate Gatling Gun	Heal	5.0	All Allies	Phys. heal is cast [5.0% of Healing Pot.] [Rng: All Allies] \nPDEF Up [Pot: High] [Rng: All Allies] [Dur: 20s] [Ext: 20s] [Max pot: High] 	Phys.	0		PDEF Up		20		20	High	High	All Allies	BuffDebuff																										Ultimate	30				30	1
2032	Barret	Escutcheon Cannon	Heal	8.0	All Allies	Mag. heal is cast [8.0% of Healing Pot.] [Rng: All Allies] \nMDEF Up [Pot: High] [Rng: All Allies] [Dur: 20s] [Ext: 6s] [Max pot: High] \nWhen HP is greater than 70.0%, MATK Up [Pot: High] [Rng: All Allies] [Dur: 20s] [Ext: 6s] [Max pot: High] 	Mag.	4		MDEF Up		20		6	High	High	All Allies	BuffDebuff	MATK Up	When HP is greater than 70.0%	20		6	High	High	All Allies	BuffDebuff																	Featured		ATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2033	Barret	Sunrise Cannon	Non-Elemental	780.0	All Enemies	Deal 780.0% Phys. Non-Elemental damage [Rng: All Enemies] \nFire Resistance Up [Pot: Mid] [Rng: All Allies] [Dur: 30s] [Ext: 10s] [Max pot: High] \nLightning Resistance Up [Pot: Mid] [Rng: All Allies] [Dur: 30s] [Ext: 10s] [Max pot: High] \nWhen HP is greater than 70.0%, PDEF Up [Pot: Mid] [Rng: All Allies] [Dur: 30s] [Ext: 10s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		Fire Resistance Up		30		10	Mid	High	All Allies	BuffDebuff	Lightning Resistance Up		30		10	Mid	High	All Allies	BuffDebuff	PDEF Up	When HP is greater than 70.0%	30		10	Mid	High	All Allies	BuffDebuff	Crit Rate				10.0%	All Enemies	AdditionalEffect	Featured		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2035	Barret	Fafnir Rifle	Non-Elemental	540.0	All Enemies	Deal 540.0% Phys. Non-Elemental damage [Rng: All Enemies] \nApplies Provoke [Rng: Self] [Dur: 60s] [Ext: 0s] \nApplies Veil [Pot: +10.0% of target's max HP] [Rng: Self] [Dur: 60s] [Ext: 12s] \nWhen HP is greater than 70.0%, PDEF Up [Pot: Mid] [Rng: All Allies] [Dur: 20s] [Ext: 6s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		Provoke		60		0	0.0%		Self	StatusChangeEffect	Veil		60		12	10.0%		Self	StatusChangeEffect	PDEF Up	When HP is greater than 70.0%	20		6	Mid	High	All Allies	BuffDebuff	Crit Rate				10.0%	All Enemies	AdditionalEffect	Crossover		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
2036	Barret	Missing Score	Heal	5.0	All Allies	Mag. heal is cast [5.0% of Healing Pot.] [Rng: All Allies] \nApplies Physical Resistance Increased [Pot: 50.0%] [Rng: All Allies] [Dur: 15s] [Ext: 0s] \nApplies Magic Resistance Increased [Pot: 50.0%] [Rng: All Allies] [Dur: 15s] [Ext: 0s] 	Mag.	0		Physical Resistance Increased		15		0	50.0%		All Allies	StatusChangeEffect	Magic Resistance Increased		15		0	50.0%		All Allies	StatusChangeEffect																	Ultimate	20				60	2
